flux,wavelength,var
3.2316813,3690.803,0.21347867
1.8799571,3691.6519,0.22813194
3.6923542,3692.5032,0.21287212
5.540256,3693.3528,0.19991407
7.660106,3694.2043,0.18672392
7.381594,3695.0544,0.18697883
2.960784,3695.9043,0.20774777
2.3396459,3696.7566,0.22192486
5.2760015,3697.607,0.2234959
3.8305507,3698.4597,0.22571994
5.1971836,3699.3105,0.23658626
5.2423534,3700.1636,0.24720982
3.9844093,3701.015,0.25580367
4.728419,3701.8662,0.2576802
3.8445847,3702.7197,0.26060122
3.7082994,3703.5715,0.26664403
3.2825987,3704.4255,0.27443236
3.4413495,3705.2778,0.26739576
4.2716093,3706.1323,0.25711775
2.769035,3706.9849,0.27152818
2.1502123,3707.8376,0.28465718
3.9788833,3708.6929,0.30649468
-0.12208541,3709.546,0.37344822
3.5343912,3710.4014,0.31602567
4.8901806,3711.255,0.2922503
2.8544455,3712.1106,0.30931407
5.293896,3712.9646,0.30421203
8.080979,3713.8188,0.28381804
5.9713755,3714.675,0.29960886
7.3955727,3715.5295,0.2884671
6.7281084,3716.3865,0.3087556
6.1378703,3717.2415,0.31123188
4.9838176,3718.0986,0.3410001
6.2923126,3718.954,0.31514537
5.66602,3719.8096,0.33203867
3.2694867,3720.6672,0.34092012
4.7310934,3721.5234,0.32283235
8.260075,3722.3816,0.29539365
7.7947826,3723.2378,0.30399033
8.637183,3724.0962,0.31155708
11.741773,3724.9531,0.28839126
11.342804,3725.81,0.26681012
14.737904,3726.6692,0.23168327
15.495328,3727.5264,0.20878822
14.967829,3728.386,0.20853165
14.426147,3729.2437,0.21054296
14.932685,3730.1038,0.21674354
13.995704,3730.962,0.23345022
9.662001,3731.82,0.26453617
8.502924,3732.6807,0.28413242
5.742162,3733.5393,0.3241434
5.466213,3734.4001,0.34183118
2.1557772,3735.2595,0.37116697
5.830121,3736.1206,0.3539942
4.3405967,3736.9802,0.36923057
4.197351,3737.8398,0.37223253
3.2886648,3738.702,0.38461944
0.47923514,3739.562,0.39381844
6.8347583,3740.4243,0.33767363
6.241728,3741.2847,0.35416943
1.7637944,3742.1475,0.4023556
4.8811183,3743.0083,0.3460531
3.7466927,3743.8694,0.32594427
4.4841394,3744.733,0.2979743
4.841576,3745.5942,0.28240946
6.1081624,3746.458,0.27666274
5.1667714,3747.3198,0.2868795
3.027641,3748.1838,0.3122069
6.140709,3749.0461,0.32463533
1.2052131,3749.9087,0.38337213
2.898392,3750.7734,0.36570638
5.8937764,3751.6362,0.3086304
4.958924,3752.5015,0.31253922
4.2837305,3753.3645,0.34120035
3.1119237,3754.23,0.34668887
3.8844316,3755.094,0.33626124
6.6374936,3755.9578,0.29996017
6.603068,3756.8237,0.2740429
4.7636957,3757.688,0.2763144
6.700786,3758.5547,0.26739076
8.056464,3759.4192,0.25837803
7.239439,3760.2861,0.27723378
4.4943695,3761.1511,0.31350663
3.8049402,3762.0186,0.3395517
5.733993,3762.8838,0.33279064
3.9587657,3763.7495,0.3498659
2.9953802,3764.6174,0.36964956
6.97521,3765.4834,0.33243766
6.636592,3766.3518,0.34321404
4.234028,3767.2183,0.35754916
9.252649,3768.087,0.2832328
5.750576,3768.9539,0.28074938
4.327618,3769.821,0.25025988
4.292578,3770.6902,0.24920781
6.217922,3771.5576,0.26463878
7.1600723,3772.4272,0.27726632
7.3577094,3773.2952,0.28083494
7.7096643,3774.1653,0.25530997
4.5033565,3775.0334,0.23247351
2.3875346,3775.9019,0.19891287
3.758883,3776.7727,0.18473288
6.158365,3777.6416,0.1952624
5.186459,3778.5127,0.22735499
3.0740066,3779.382,0.28410676
4.912065,3780.2534,0.28349617
5.8297877,3781.123,0.28732675
7.7010093,3781.993,0.27945298
9.091853,3782.865,0.26295632
2.164466,3783.735,0.3064956
2.858869,3784.6077,0.31860912
5.1245313,3785.4785,0.28823286
3.0982718,3786.3513,0.30305025
2.2115643,3787.2224,0.31125212
3.3936498,3788.0938,0.3011466
3.9699073,3788.967,0.30567327
5.2404284,3789.8386,0.32395682
6.627755,3790.713,0.33418295
6.119011,3791.585,0.35935116
5.662231,3792.459,0.35858876
5.986652,3793.3315,0.3093757
2.969598,3794.2043,0.3222418
-1.1224425,3795.079,0.38004568
6.488371,3795.9521,0.29584178
6.2946143,3796.8274,0.3203345
4.9688783,3797.701,0.35227448
4.2802687,3798.5767,0.3817073
6.012463,3799.4504,0.37315282
6.8059444,3800.3247,0.36526883
1.1527957,3801.201,0.40735817
4.307449,3802.0757,0.36297604
5.2793565,3802.9521,0.34133253
6.5312514,3803.827,0.31062648
6.232284,3804.7043,0.30616355
0.3921421,3805.5796,0.34033018
2.7017379,3806.455,0.34383148
5.4175196,3807.3328,0.34479514
6.346401,3808.2087,0.36303428
7.6774592,3809.0867,0.3670185
4.81714,3809.9631,0.39893335
3.2636588,3810.8418,0.41185665
5.0596604,3811.7183,0.3987913
3.6800263,3812.5952,0.43475294
2.8768287,3813.4744,0.42571726
6.07813,3814.3516,0.3863013
4.854588,3815.2312,0.42449567
3.992156,3816.109,0.43338603
3.37924,3816.989,0.44543132
2.4407053,3817.867,0.4436317
3.8687544,3818.7454,0.4166208
3.4213524,3819.6257,0.43020695
4.18109,3820.5046,0.43025738
1.3396102,3821.3857,0.47863087
3.7550137,3822.265,0.42861024
7.9688306,3823.1462,0.38677296
6.6673217,3824.026,0.40174073
5.259027,3824.9053,0.40629265
5.229756,3825.787,0.43265256
4.2982817,3826.6672,0.45994902
4.7406893,3827.55,0.45937645
5.54709,3828.4304,0.4564795
0.10479434,3829.3132,0.5551623
5.0570703,3830.194,0.46096292
2.398272,3831.0774,0.4694495
4.290058,3831.9587,0.41163805
1.9013523,3832.8403,0.42691475
4.616291,3833.7239,0.35629395
4.57097,3834.6062,0.33202735
4.033858,3835.4902,0.34115893
6.236638,3836.3726,0.3745895
3.2288766,3837.2573,0.45108986
6.56087,3838.14,0.3095988
3.0920289,3839.0232,0.34622654
5.368538,3839.9082,0.24309707
6.739057,3840.7915,0.25488985
7.2641516,3841.6775,0.26754674
3.9898052,3842.561,0.32761785
4.7434416,3843.447,0.35241583
7.0981245,3844.331,0.35056826
5.298284,3845.2158,0.40047476
2.7431605,3846.1025,0.4645719
3.4135697,3846.9873,0.44741607
6.0328026,3847.8745,0.36240143
6.1232114,3848.7595,0.3352147
4.2468677,3849.647,0.32212135
5.7399087,3850.533,0.32754102
4.9094844,3851.4185,0.3802295
3.7846816,3852.3066,0.41353655
5.5449677,3853.1929,0.43832687
5.894854,3854.0813,0.4613517
4.400284,3854.968,0.5241114
5.9626007,3855.8567,0.45452124
3.8088634,3856.7441,0.45567814
4.8263173,3857.6313,0.40859753
5.1630516,3858.5205,0.376468
4.1649933,3859.4082,0.38373598
3.5541165,3860.2983,0.40171602
5.090928,3861.1865,0.41573048
4.105347,3862.0767,0.4429344
5.1792216,3862.9653,0.44576102
8.911295,3863.854,0.40589857
7.272292,3864.7449,0.44837832
4.7212243,3865.634,0.49542266
7.3436623,3866.5256,0.4723962
6.4245977,3867.415,0.46802145
6.991721,3868.3066,0.4160019
8.20312,3869.1965,0.38033316
7.7469153,3870.0867,0.3723603
6.396249,3870.979,0.38609353
5.8269477,3871.8694,0.40102467
6.443683,3872.7627,0.4002397
7.8088465,3873.6533,0.3761015
9.116585,3874.5464,0.36744943
8.449696,3875.438,0.41415474
5.405397,3876.3298,0.51948076
3.927146,3877.2234,0.55007213
6.5625653,3878.1152,0.51694787
4.602409,3879.0095,0.49932015
6.63956,3879.9019,0.45508766
6.7758403,3880.7969,0.42824838
5.351931,3881.6897,0.4218179
4.362221,3882.5825,0.43612626
2.8094995,3883.478,0.47268036
5.1336617,3884.3713,0.51174074
5.3522286,3885.2668,0.5309181
5.0406513,3886.161,0.5466481
6.813249,3887.057,0.51148707
4.2712812,3887.951,0.53823876
3.21005,3888.8457,0.55956244
3.924583,3889.742,0.54421395
5.8159323,3890.6372,0.47280312
4.324379,3891.5344,0.4624198
2.7045307,3892.4294,0.4892954
5.8509684,3893.3274,0.5076182
3.9851189,3894.223,0.55075353
6.236736,3895.119,0.53545606
6.652713,3896.0166,0.5276808
4.1341944,3896.913,0.56915784
4.7780867,3897.8118,0.51168597
5.593019,3898.7083,0.46728447
4.651621,3899.6074,0.44362
6.255659,3900.5046,0.39222237
6.525582,3901.4038,0.38767895
4.169479,3902.3015,0.44279057
5.4183464,3903.1995,0.50999135
4.114877,3904.0996,0.59696823
3.1810448,3904.9973,0.6313007
3.692777,3905.8977,0.6022617
5.5285606,3906.7966,0.5471248
5.6056504,3907.6975,0.5385254
4.8308897,3908.5962,0.49719107
6.069391,3909.4954,0.46979955
7.175145,3910.3967,0.47579855
5.49066,3911.2964,0.53009737
3.9084485,3912.1982,0.5765614
6.056867,3913.0984,0.56188565
7.5314136,3914.0007,0.53581905
6.664737,3914.9014,0.56681
5.7815733,3915.8018,0.61505866
4.836892,3916.705,0.57008106
5.176345,3917.606,0.51226294
8.2439995,3918.5093,0.45102417
8.347653,3919.4106,0.4306864
5.871328,3920.3145,0.4849994
3.9126225,3921.2163,0.5717018
4.4971356,3922.1182,0.63627374
6.7123756,3923.023,0.6159935
3.3178983,3923.9253,0.6637174
4.922485,3924.8303,0.590016
6.107259,3925.7332,0.5411505
4.0327764,3926.6382,0.5057268
5.764323,3927.542,0.48413852
3.0843065,3928.4453,0.5324066
4.565681,3929.351,0.55346334
1.519753,3930.255,0.4143096
-2.0688226,3931.1614,0.43912336
3.2321656,3932.0654,0.5318854
2.2094388,3932.9724,0.56146157
1.0732648,3933.877,0.6339478
1.3001692,3934.7822,0.6995919
1.8422234,3935.6895,0.74187917
3.373315,3936.595,0.69511133
0.6006548,3937.503,0.70491064
1.9350165,3938.4084,0.6600541
2.1188848,3939.3167,0.67415243
3.9918084,3940.2231,0.6566975
6.0806046,3941.1296,0.65303797
4.9405937,3942.0383,0.69239765
5.5814567,3942.9453,0.70318663
2.9858785,3943.8545,0.69707596
6.8441133,3944.7617,0.52050585
3.6777523,3945.6714,0.50238144
4.2368636,3946.5789,0.47540113
5.168493,3947.487,0.5149768
3.073304,3948.3972,0.36442807
5.6807766,3949.3054,0.39326063
6.919024,3950.2163,0.63962835
5.0333767,3951.1252,0.65621555
5.870553,3952.0361,0.6060217
5.823536,3952.9453,0.58553773
3.4031694,3953.8545,0.6525362
6.106898,3954.7664,0.63882023
6.0686374,3955.676,0.63001275
7.8082323,3956.5884,0.54325205
8.9842415,3957.4985,0.54460025
6.529052,3958.411,0.5672316
4.5811224,3959.3218,0.59277743
5.956678,3960.2324,0.5730339
5.6732183,3961.1458,0.62172836
3.2177038,3962.0571,0.61669934
3.838934,3962.9705,0.5917329
4.1392727,3963.8823,0.63672787
3.7827632,3964.7966,0.68457454
3.74334,3965.7085,0.7204446
4.589796,3966.6208,0.6973595
3.607252,3967.5354,0.6901865
1.6250666,3968.4482,0.62260807
0.4994979,3969.3635,0.5956361
3.5232363,3970.2764,0.5738744
5.258546,3971.192,0.6066186
4.4992895,3972.1055,0.6494836
4.160048,3973.0215,0.6597032
2.682384,3973.9353,0.68053883
7.2901793,3974.8496,0.5588791
6.706206,3975.7664,0.571733
4.6881547,3976.6812,0.6605043
6.219759,3977.5981,0.69109225
6.9839025,3978.5132,0.6625233
7.1404457,3979.4304,0.6607727
5.316643,3980.3462,0.6797528
4.20199,3981.2617,0.6844575
7.7275057,3982.1794,0.5872282
9.525953,3983.096,0.54653555
5.2477913,3984.0142,0.61778045
7.144776,3984.9307,0.60744345
7.744967,3985.8494,0.60975915
6.4519076,3986.7664,0.6468129
6.2093143,3987.6838,0.6471932
9.387551,3988.6035,0.5628867
6.2909765,3989.5208,0.61341685
8.25716,3990.441,0.5454005
7.482156,3991.3586,0.5260067
7.0172343,3992.2793,0.559389
8.690331,3993.1975,0.5529709
6.4121084,3994.1165,0.60108256
9.633744,3995.0374,0.5409489
8.910233,3995.9565,0.5298626
9.261995,3996.8777,0.5427385
8.573555,3997.7974,0.59403366
8.555576,3998.7192,0.6047951
8.609376,3999.639,0.5969481
8.566894,4000.559,0.57552904
8.950322,4001.482,0.51650727
9.863618,4002.4023,0.44895253
9.000628,4003.3252,0.44632939
8.308636,4004.2463,0.47308245
10.100955,4005.1697,0.50097114
7.6643267,4006.091,0.58914536
5.151831,4007.0125,0.62897784
6.757875,4007.9363,0.6015853
8.252654,4008.8586,0.46059573
8.859407,4009.783,0.40994605
6.313179,4010.7053,0.38486975
10.767527,4011.6304,0.3493303
10.381076,4012.5532,0.44047123
7.7139335,4013.476,0.48274064
9.4973545,4014.4016,0.5288594
9.641785,4015.3254,0.56082773
7.675586,4016.251,0.5740668
8.944788,4017.1753,0.57087505
7.7491984,4018.1013,0.6085302
9.220277,4019.026,0.61026114
6.199037,4019.9502,0.7252513
